"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1141899441.34078","1224022346.36872","1321229050.27933","1392737430.1676","1458100558.65922","1324022346.36872","1316201117.31844","1346927374.30168","1432402234.63687","1527932960.89385","1816759776.53631","1893854748.60335","2008379888.26816","2146368715.0838","1906145251.39665","1854189944.13408","2136312849.16201","2089385474.86034","2349720670.39106","2350837988.82682","2164804469.27374","2101117318.43575","2189385474.86034","","","",
"Afghanistan","AFG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","37777780","44444446.6666667","51111111.1111111","126666717.777778","144444451.111111","215555548.888889","259999993.333333","237777784.444444","208888900","211111117.777778","208888900","295555548.888889","288888877.777778","255555562.222222","320000000","337777777.777778","380000006.666667","437777795.555556","457777788.888889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5738980003.82281","6697298360.22468","7370216539.32213","8831519590.16866","10645428494.1358","15181994765.8936","16320505275.1029","26207276865.8555","43286243193.0314","44777816509.1355","35682259098.1843","43947386910.9212","45919711316.8811","49304202033.1896","50471640780.8965","38499512246.7219","25529394463.6446","28397112166.3975","25887360494.1474","25128993070.1173","",
"Albania","ALB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","372867136.182956","362610725.835338","336224987.5","335624987.5","408575012.5","483800000","487500000","314316659.722222","627952433.94529","764996711.818738","773426393.922004","836744255.238814","1064681063.62842","795637355.146558","933613389.785658","1097559739.31933","1508346758.51342","1771126270.36057","2068789181.07372","2591004721.93726","3220863616.26405","3853668207.66534","4364191251.27162","5867635984.02705","6717536051.18804","6004542099.70509","5792188899.58985","6700239256.73814","5860874323.60733","5999382980.09259","6243003412.96928","5070977924.24205","5436220472.44094","6070361041.1419","6856194878.74713","6926961793.2423","",
"Andorra","AND","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173964223900.745","192824842699.879","202116744066.439","204804931257.543","204792873415.893","198640867597.32","218132641328.233","221093077313.104","235304679104.306","270438535215.724","347596948507.56","425717238579.876","504594056659.74","659506576889.114","853723930801.112","766100394736.479","800257560792.468","910721224046.272","1026416152750.05","1112090813647.21","1173151779267.86","1087194000095.08","1015720425163.37","1065962473520.1","1107222799443.63","1151549722563.96","",
"United Arab Emirates","ARE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42053369639.2104","47845064669.8434","57668073519.401","78428046289.9932","93862491490.8101","112930428863.172","166134240980.259","219714363512.594","187139823008.85","178610755616.065","215973042886.317","239748672566.372","252509462219.197","277888359428.182","266276378488.768","270442477876.106","290782845473.111","281535738597.685","288397549353.302","",
"Argentina","ARG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","2294367226.53985","1441753153.10994","1424602863.7313","1176470539.39431","1428571371.44429","1212121237.48041","1428571474.83812","2000000041.3448","1495789482.224","2199999958.62685","2374999979.49003","3000000101.96424","4555555489.85516","3135135020.645","3030000057.09425","4159999872.70227","3319672098.15378","4383512570.58549","4989980079.95196","5800000170.81341","5497685333.13496","6068376037.18012","3762000095.03612","5546666806.78726","7015555449.2007","8417142923.96163","7839772666.04089","5042239480.95944","6546483925.69926","11531201153.6445","18606904906.1175","22049649649.6497","27299960000","26038017000","30148400000","37413700000","38667300000","32762700000","33070146000","27603881800","13065823829.1753","18772898618.6064","27736672323.6712","34392237786.5721","40480743015.8524","52567536062.3157","66316154417.0834","48268743529.5373","67937933972.3653","88839174034.695","78013690406.706","81240190816.9153","73691675720.0984","70064879911.7042","75639125936.7673","89910533565.8926","85693671129.9334","67653945494.8403","",
"Armenia","ARM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1045655213.47519","1243607801.03366","779530102.320233","729847869.303232","961398417.116201","913101574.26435","894135813.833637","955405613.878244","1000634291.3776","919091321.055349","957156465.240371","968529888.660685","1096735501.87495","1391414378.76877","1605180991.65807","2098701754.40896","2482540157.15781","3570727647.4944","4697073302.10145","3684309463.16552","4157364238.39287","4757906356.73632","5139736511.98216","5471934988.45409","5481836161.68309","4427830447.17057","4464567912.38578","5646878995.6173","6612702098.74823","7458269217.44024","",
"American Samoa","ASM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","559000000","571000000","567000000","614000000","634000000","621000000","754000000","556000000","537000000","559000000","643000000","641000000","679000000","658000000","635000000","616000000","632000000","","",
